,loss
0,271.53752440214157
1,266.1131081879139
2,249.27904465794563
3,240.08287438750267
4,233.03061285614967
5,230.67956510186195
6,229.94478285312653
7,229.54553690552711
8,229.15555128455162
9,228.90450590848923
10,226.2064164876938
11,224.19777709245682
12,223.60493272542953
13,223.2820779979229
14,222.93265175819397
15,222.8065991103649
16,222.6191664636135
17,222.44340607523918
18,222.28899669647217
19,222.15968784689903
20,222.01647129654884
21,221.87736999988556
22,221.75302216410637
23,219.37953504920006
24,217.93303260207176
25,217.4004499912262
26,217.05503645539284
27,216.79021939635277
28,216.53898254036903
29,216.381395727396
30,216.2053106725216
31,216.0521491765976
32,215.94839745759964
33,215.83563122153282
34,215.71378615498543
35,215.62579852342606
36,215.55730506777763
37,215.49686974287033
38,215.39114809036255
39,215.34257021546364
40,215.28455048799515
41,215.23199409246445
42,215.17189645767212
43,215.12336763739586
44,215.05647778511047
45,215.0168414413929
46,214.98196694254875
47,214.90050667524338
48,214.87846904993057
49,214.8382344841957
50,214.81039732694626
51,214.76549741625786
52,214.73762732744217
53,214.67500141263008
54,214.66004008054733
55,214.67073836922646
56,214.59274852275848
57,214.5740421116352
58,214.58352541923523
59,214.512974858284
60,214.4958293735981
61,214.47421884536743
62,214.4509983062744
63,214.42108550667763
64,214.43777298927307
65,214.40979439020157
66,214.34767082333565
67,214.32901978492737
68,214.3304707109928
69,214.3276869058609
70,214.26129692792892
71,214.27335274219513
72,214.28537759184837
73,214.25900730490685
74,214.24605551362038
75,214.20334812998772
76,214.21984535455704
77,214.19202104210854
78,214.16415426135063
79,214.1655799150467
80,214.1503675878048
81,214.15579861402512
82,214.1267405450344
83,214.13146436214447
84,214.10894837975502
85,214.1350949704647
86,214.08221599459648
87,214.08854219317436
88,214.11962056159973
89,214.08766227960587
90,214.12323984503746
91,214.08180338144302
92,214.06890892982483
93,214.0375892519951
94,214.01599130034447
95,214.06748270988464
96,214.03366634249687
97,214.01331892609596
98,214.01447123289108
99,214.00832390785217
