,loss
0,136.57774117588997
1,136.42620992660522
2,135.54823142290115
3,130.36205905675888
4,123.95416221022606
5,121.5235051214695
6,120.82814186811447
7,119.15902429819107
8,118.44943922758102
9,118.17492482066154
10,118.03162994980812
11,117.85629227757454
12,117.7680581510067
13,117.65432581305504
14,116.83314162492752
15,115.75459384918213
16,115.41668117046356
17,115.19269472360611
18,115.07377219200134
19,114.91891932487488
20,114.82337468862534
21,114.43632924556732
22,113.54729294776917
23,113.02036538720131
24,112.79948276281357
25,112.60926148295403
26,112.45902052521706
27,112.40374627709389
28,112.36682432889938
29,112.22215032577515
30,112.20239952206612
31,112.09668430685997
32,112.05607178807259
33,111.98266443610191
34,111.92483368515968
35,111.88796418905258
36,111.82017862796783
37,111.7829167842865
38,111.73145785927773
39,111.68414932489395
40,111.60641905665398
41,111.5859888792038
42,111.62216684222221
43,111.51467251777649
44,111.43136849999428
45,111.38117471337318
46,111.37365558743477
47,111.33698853850365
48,111.31786358356476
49,111.2282822728157
50,111.22725263237953
51,111.14586445689201
52,111.14039134979248
53,111.09001851081848
54,111.03906217217445
55,111.0071280002594
56,110.9854950606823
57,110.97415933012962
58,110.92721742391586
59,110.95051908493042
60,110.91170331835747
61,110.89373230934143
62,110.8465023636818
63,110.82281550765038
64,110.81999179720879
65,110.77453434467316
66,110.77076759934425
67,110.72323814034462
68,109.98091867566109
69,108.93444526195526
70,108.67663431167603
71,108.54046460986137
72,108.4426711499691
73,108.35768267512321
74,108.30740082263947
75,108.25880175828934
76,108.19310310482979
77,108.15085133910179
78,108.12289100885391
79,108.09789314866066
80,108.07463738322258
81,108.04183357954025
82,108.0054123699665
83,107.99064472317696
84,107.95796564221382
85,107.95996916294098
86,107.9112021625042
87,107.90022018551826
88,107.87246903777122
89,107.83629673719406
90,107.84470817446709
91,107.82509291172028
92,107.81684359908104
93,107.826634734869
94,107.78290045261383
95,107.75780689716339
96,107.75465577840805
97,107.7300608754158
98,107.71697422862053
99,107.72162202000618
