,loss
0,34.67791694402695
1,34.67782407999039
2,34.67772701382637
3,34.67762976884842
4,34.677533000707626
5,34.67743706703186
6,34.677340894937515
7,34.67724457383156
8,34.677149802446365
9,34.67705485224724
10,34.67695954442024
11,34.676866710186005
12,34.67677062749863
13,34.6766771376133
14,34.67658266425133
15,34.676488786935806
16,34.676395297050476
17,34.67630144953728
18,34.67620772123337
19,34.67611348628998
20,34.67602029442787
21,34.67592591047287
22,34.67583215236664
23,34.67573890089989
24,34.675647497177124
25,34.67555168271065
26,34.67545962333679
27,34.67536577582359
28,34.67527279257774
29,34.67517867684364
30,34.67508992552757
31,34.674992471933365
