,loss
0,136.1363068819046
1,136.02013474702835
2,135.67871192097664
3,133.1322302520275
4,123.77882027626038
5,119.11130395531654
6,118.2937022447586
7,117.97704896330833
8,117.76492369174957
9,117.62771758437157
10,117.47576603293419
11,117.31071075797081
12,117.29120379686356
13,117.21300369501114
14,117.06758904457092
15,117.15142965316772
16,116.9921563565731
17,116.93366929888725
18,116.6036773622036
19,115.10880160331726
20,114.7294242978096
21,114.55529481172562
22,114.41358378529549
23,114.33749946951866
24,114.20104280114174
25,113.9384776353836
26,113.20941054821014
27,112.62466722726822
28,112.30081126093864
29,112.05844384431839
30,111.85726055502892
31,111.75942209362984
32,111.64148730039597
33,111.5492240190506
34,111.43220749497414
35,111.33935537934303
36,111.32810753583908
37,111.23080173134804
38,111.13516986370087
39,111.08305031061172
40,111.04398691654205
41,111.0350184738636
42,110.9486363530159
43,110.9516730606556
44,110.87192294001579
45,110.81952038407326
46,110.80423331260681
47,110.76877722144127
48,110.72714346647263
49,110.71450129151344
50,110.6600438952446
51,110.67614158987999
52,110.61934155225754
53,110.55124634504318
54,110.50680926442146
55,110.51084408164024
56,110.4853210747242
57,110.47802230715752
58,110.45647981762886
59,110.41115829348564
60,110.37830421328545
61,110.37348264455795
62,110.3770597577095
63,110.31809511780739
64,110.29000082612038
65,110.26780971884727
66,110.22906586527824
67,110.22971817851067
68,110.19789069890976
69,110.19587171077728
70,110.15613543987274
71,110.16358044743538
72,110.11585623025894
73,110.14437368512154
74,110.13839465379715
75,110.05763104557991
76,110.09420642256737
77,110.03982931375504
78,110.06966832280159
79,110.0240640938282
80,110.02834022045135
81,109.9817411005497
82,109.99636161327362
83,109.97500658035278
84,109.94845014810562
85,109.94880416989326
86,109.95132833719254
87,109.924345433712
88,109.8884468972683
89,109.87750098109245
90,109.90249907970428
91,109.87602233886719
92,109.84561687707901
93,109.83807173371315
94,109.83628848195076
95,109.84221968054771
96,109.7928638458252
97,109.78951701521873
98,109.76111781597137
99,109.75588178634644
100,109.76782003045082
101,109.77393099665642
102,109.7384183704853
103,109.70581036806107
104,109.77057433128357
105,109.72093531489372
106,109.68307372927666
107,109.65905809402466
108,109.6584424674511
109,109.63202434778214
110,109.65222680568695
111,109.63893201947212
112,109.15709045529366
113,108.4328693151474
114,108.11895561218262
115,107.93130338191986
116,107.79584455490112
117,107.68495792150497
118,107.6602913737297
119,107.59120351076126
120,107.53067398071289
121,107.50328540802002
122,107.44268921017647
123,107.41168105602264
124,107.38453790545464
125,107.35994756221771
126,107.34008339047432
127,107.34161365032196
128,107.29923003911972
129,107.28786945343018
130,107.2908247411251
131,107.2670681476593
132,107.22746431827545
133,107.23843532800674
134,107.23712846636772
135,107.20133227109909
136,107.1987195611
137,107.18449583649635
138,107.17369467020035
139,107.17019721865654
140,107.15693029761314
141,107.16008579730988
142,107.1320570409298
143,107.12220013141632
144,107.11376142501831
145,107.1135490834713
146,107.11556175351143
147,107.10104668140411
148,107.09006583690643
149,107.09738612174988
150,107.07523432374
