,loss
0,238.19545236229897
1,234.75667268037796
2,223.4874841272831
3,217.35139152407646
4,212.6233298778534
5,208.85999420285225
6,204.9341306090355
7,202.06038719415665
8,197.44061723351479
9,194.30810117721558
10,193.06020930409431
11,192.4983453452587
12,192.0360622704029
13,191.71252128481865
14,191.4779775738716
15,191.20337545871735
16,191.00480523705482
17,190.8193962574005
18,190.6433869600296
19,190.43295153975487
20,190.28242856264114
21,190.08076325058937
22,189.9043642282486
23,189.7701461315155
24,189.65518775582314
25,189.52040460705757
26,189.41740450263023
27,189.36398297548294
28,189.24229264259338
29,189.223104596138
30,189.0864907503128
31,189.01919281482697
32,188.988345682621
33,188.9395588040352
34,188.88534051179886
35,188.8277573287487
36,188.78512379527092
37,188.7370448410511
38,188.68655827641487
39,188.6282370686531
40,188.6085969209671
41,188.5780386030674
42,188.53421795368195
43,188.4754070341587
44,188.44731467962265
45,188.41987454891205
46,188.37213560938835
47,188.35571798682213
48,188.35700744390488
49,188.31513786315918
50,188.2761979997158
51,188.2379669547081
52,188.22908675670624
53,188.21257960796356
54,188.16076323390007
55,188.15124812722206
56,188.14050015807152
57,188.1304314136505
58,188.11146312952042
59,188.1154305934906
60,188.08830446004868
61,188.05861473083496
62,188.04019808769226
63,188.02966871857643
64,187.98842722177505
65,187.97706019878387
66,187.94699323177338
67,187.95523861050606
68,187.93219882249832
69,187.94857332110405
70,187.91852575540543
71,187.88162568211555
72,187.88415858149529
73,187.85711377859116
74,187.83632799983025
75,187.82992175221443
76,187.79164960980415
77,187.83270499110222
78,187.80563482642174
79,187.78303888440132
80,187.7811553478241
81,187.77249750494957
82,187.77998405694962
83,187.76362162828445
84,187.7385854125023
85,187.7075445652008
86,187.7107412815094
87,187.67178389430046
88,187.7479045689106
89,187.69262984395027
90,187.65293189883232
91,187.6564380824566
92,187.66095885634422
93,187.64802983403206
94,187.63753980398178
95,187.63316071033478
96,187.60222780704498
97,187.59953007102013
98,187.57972618937492
99,187.57358506321907
100,187.60558927059174
101,187.593456864357
102,187.58605521917343
103,187.56525313854218
104,187.58601135015488
105,187.54771623015404
106,187.56683745980263
107,187.52767437696457
108,187.5416519343853
109,187.54261860251427
110,187.55968913435936
111,187.51801273226738
112,187.51173734664917
113,187.53810986876488
114,187.50172093510628
115,187.54135233163834
116,187.49580490589142
117,187.53196921944618
118,187.49956342577934
119,187.48635184764862
120,187.50805869698524
121,187.4810630083084
122,187.47209748625755
123,187.45042675733566
124,187.45345982909203
125,187.48793751001358
126,187.4658458530903
127,187.4540063738823
128,187.43984484672546
129,187.41753980517387
130,187.44051191210747
131,187.42812484502792
132,187.42610150575638
133,187.44297835230827
134,187.43825769424438
135,187.4362714290619
136,187.42240065336227
137,187.42379102110863
