,loss
0,272.04334715008736
1,267.08683344721794
2,249.41300678253174
3,241.42248409986496
4,233.9877744615078
5,231.28740644454956
6,230.49447733163834
7,229.93872171640396
8,229.68563601374626
9,229.4253052175045
10,229.17700642347336
11,228.97922909259796
12,228.87689793109894
13,228.76955685019493
14,228.68410795927048
15,228.47090229392052
16,228.4051099717617
17,228.34197720885277
18,228.24810487031937
19,228.0492363870144
20,226.09090983867645
21,224.99503260850906
22,224.55025613307953
23,224.18943199515343
24,223.93724113702774
25,223.6419008076191
26,223.44610705971718
27,223.22561392188072
28,223.02141016721725
29,222.94164204597473
30,222.76713451743126
31,222.64087080955505
32,222.4885983467102
33,222.37105664610863
34,222.24347710609436
35,222.11728990077972
36,221.98916864395142
37,221.96520432829857
38,221.84446048736572
39,221.13216850161552
40,217.21036612987518
41,216.39550179243088
42,216.04420310258865
43,215.87010183930397
44,215.73026305437088
45,215.61265286803246
46,215.55329754948616
47,215.4226514697075
48,215.36083653569221
49,215.31771180033684
50,215.21739649772644
51,215.18271335959435
52,215.0793201327324
53,215.04232913255692
54,215.00059017539024
55,214.95138972997665
56,214.9103249013424
57,214.85275718569756
58,214.83373874425888
59,214.77183333039284
60,214.71765798330307
61,214.73609548807144
62,214.6595301926136
63,214.66760021448135
64,214.66095212101936
65,214.61218610405922
66,214.57847946882248
67,214.55631920695305
68,214.54569005966187
69,214.50373911857605
70,214.5223752260208
71,214.45409148931503
72,214.4817454814911
73,214.4520439207554
74,214.4145101904869
75,214.3599385023117
76,214.35810577869415
77,214.34628933668137
78,214.33676132559776
79,214.32810977101326
80,214.31887701153755
81,214.28563967347145
82,214.2896607220173
83,214.2618228495121
84,214.25315409898758
85,214.2520274221897
86,214.22801852226257
87,214.23581758141518
88,214.20860674977303
89,214.24504593014717
90,214.19811552762985
91,214.2017796933651
92,214.18710047006607
93,214.17397931218147
94,214.1595662534237
95,214.16730359196663
96,214.14273101091385
97,214.14433178305626
98,214.13409399986267
99,214.14604052901268
