,loss
0,137.35981884598732
1,137.16344541311264
2,135.2551617026329
3,132.31817799806595
4,126.01564559340477
5,122.72718679904938
6,120.6032626926899
7,117.74038201570511
8,116.79286974668503
9,115.88081678748131
10,114.9622455239296
11,114.54062366485596
12,114.11099427938461
13,113.85194256901741
14,113.63536742329597
15,113.49533063173294
16,113.32011449337006
17,113.16708680987358
18,113.08256676793098
19,113.01910582184792
20,112.97467923164368
21,112.82741367816925
22,112.73896312713623
23,112.7511323094368
24,112.68978518247604
25,112.64194756746292
26,112.61542484164238
27,112.51506665349007
28,112.45230042934418
29,112.41021347045898
30,112.34330013394356
31,112.30318346619606
32,112.29920598864555
33,112.21305274963379
34,112.17637518048286
35,112.14596256613731
36,112.10093048214912
37,111.78331959247589
38,110.53836128115654
39,110.19912239909172
40,109.98317730426788
41,109.8323538005352
42,109.75532668828964
43,109.61430951952934
44,109.51555758714676
45,109.49626222252846
46,109.40357261896133
47,109.30473971366882
48,109.26770129799843
49,109.22013598680496
50,109.16592061519623
51,109.12060943245888
52,109.07855775952339
53,109.0414107143879
54,109.01730784773827
55,108.96534445881844
56,108.95651060342789
57,108.9075437784195
58,108.8409353196621
59,108.82351166009903
60,108.78223785758018
61,108.76357153058052
62,108.73080822825432
63,108.69521659612656
64,108.66905561089516
65,108.63380405306816
66,108.62298345565796
67,108.6069044470787
68,108.58514752984047
69,108.56073731184006
70,108.53949210047722
71,108.49890512228012
72,108.47442883253098
73,108.47519937157631
74,108.44074830412865
75,108.42994675040245
76,108.4233409166336
77,108.39378196001053
78,108.37524858117104
79,108.37700146436691
80,108.35988360643387
81,108.357173204422
82,108.33311185240746
83,108.30439105629921
84,108.31640481948853
85,108.2913136780262
86,108.27416768670082
87,108.27304628491402
88,108.2436480820179
89,108.25514981150627
90,108.2130643427372
91,108.2186889052391
92,108.22767007350922
93,108.21998047828674
94,108.18748685717583
95,108.18631646037102
96,108.1728168129921
97,108.16937881708145
98,108.16084238886833
99,108.14033532142639
