,loss
0,172.0360893011093
1,171.88597762584686
2,170.08075150847435
3,167.57312068343163
4,158.23699045181274
5,152.79694691300392
6,152.26545417308807
7,151.99056732654572
8,151.85236099362373
9,151.5351719558239
10,149.2296460866928
11,147.42421352863312
12,146.57711672782898
13,146.11049509048462
14,145.8816676735878
15,145.64035946130753
16,145.50368413329124
17,145.2975552380085
18,145.17054879665375
19,145.06923419237137
20,144.96811091899872
21,144.83076417446136
22,144.7850227355957
23,144.66927167773247
24,144.65319707989693
25,144.5184949040413
26,144.4918676316738
27,144.37084755301476
28,144.32398214936256
29,144.26837176084518
30,144.22185462713242
31,144.16442048549652
32,144.13059681653976
33,144.09010991454124
34,144.0033604800701
35,143.98035073280334
36,143.95043417811394
37,143.87953633069992
38,143.76927208900452
39,143.76105666160583
40,143.68375384807587
41,143.6362268924713
42,143.5721202492714
43,142.68474543094635
44,141.40366685390472
45,140.95774647593498
46,140.73112854361534
47,140.5956357717514
48,140.383870780468
49,140.35703617334366
50,140.2432689666748
51,140.13487005233765
52,140.04704374074936
53,139.98241466283798
54,139.91266849637032
55,139.87154906988144
56,139.7856085896492
57,139.7400758266449
58,139.70452201366425
59,139.4667268693447
60,137.4246241748333
61,136.92773240804672
62,136.6766310930252
63,136.54741814732552
64,136.40161255002022
65,136.31427991390228
66,136.23664784431458
67,136.19004833698273
68,136.10673424601555
69,136.0632352232933
70,135.9878575205803
71,135.95164054632187
72,135.9136044383049
73,135.9167750775814
74,135.8634566962719
75,135.82315734028816
76,135.78884282708168
77,135.786776304245
78,135.74211764335632
79,135.72064957022667
80,135.72434583306313
81,135.67204067111015
82,135.63831967115402
83,135.63043358922005
84,135.6167474091053
85,135.60448390245438
86,135.579937428236
87,135.57190069556236
88,135.53163838386536
89,135.52639558911324
90,135.51772558689117
91,135.51510056853294
92,135.49794951081276
93,135.46534368395805
94,135.46698424220085
95,135.4605462551117
96,135.4581759274006
97,135.41594415903091
98,135.42171669006348
99,135.41280019283295
100,135.4137363433838
101,135.39077219367027
102,135.38046392798424
103,135.39171984791756
104,135.38033148646355
105,135.3706704378128
106,135.34630769491196
107,135.35230726003647
108,135.3185076713562
109,135.34059420228004
110,135.34354785084724
111,135.3163402378559
112,135.29736584424973
113,135.27624142169952
114,135.29108944535255
115,135.29467311501503
116,135.28707972168922
117,135.27335840463638
118,135.25615340471268
119,135.25557765364647
120,135.25442934036255
121,135.2567541897297
122,135.2361882328987
123,135.2251149713993
124,135.22110545635223
125,135.21568316221237
126,135.21276897192
127,135.2116358280182
128,135.20790460705757
129,135.20608493685722
130,135.1788992881775
131,135.19714230298996
132,135.17966255545616
133,135.1693339049816
134,135.1722330749035
135,135.1676907837391
136,135.14563292264938
137,135.15610745549202
138,135.14155113697052
139,135.14315903186798
140,135.1397388279438
141,135.12918040156364
142,135.1179880797863
143,135.11878752708435
144,135.1111914217472
145,135.11516711115837
146,135.10829058289528
147,135.10943350195885
148,135.10406702756882
149,135.0866116285324
150,135.10351333022118
151,135.07489475607872
152,135.09675985574722
153,135.10067349672318
154,135.07536551356316
155,135.09646320343018
156,135.08658865094185
157,135.08116257190704
158,135.06313040852547
159,135.07917791604996
160,135.0609716773033
161,135.05623477697372
162,135.0682194828987
163,135.04681566357613
164,135.05058458447456
165,135.05554175376892
166,135.0502523779869
167,135.0328104197979
168,135.04033759236336
169,135.03610730171204
170,135.04141238331795
171,135.03977784514427
172,135.04200419783592
173,135.0249983072281
174,135.02921599149704
175,135.03051948547363
176,135.0207512974739
177,134.99565109610558
178,135.02262717485428
179,135.01518070697784
180,135.005063444376
181,135.00216647982597
182,135.03325340151787
183,135.00398129224777
184,134.99679630994797
185,134.98636281490326
186,135.00846102833748
187,134.99921479821205
188,134.98054537177086
189,134.9878370463848
190,134.98275282979012
191,134.99785190820694
192,134.9720101058483
193,134.97846361994743
194,134.96264857053757
195,134.97048619389534
196,134.96387434005737
197,134.96539467573166
198,134.9483662545681
199,134.97354567050934
200,134.96305456757545
201,134.95151233673096
202,134.95404255390167
203,134.9517498910427
204,134.94694682955742
205,134.95122063159943
206,134.95144936442375
207,134.94851982593536
208,134.94807109236717
209,134.95067849755287
210,134.93874725699425
211,134.93836599588394
212,134.94374459981918
213,134.9211682677269
214,134.91855016350746
215,134.9386532008648
216,134.91924360394478
217,134.92727851867676
218,134.92231810092926
219,134.92164546251297
220,134.92293149232864
221,134.91276624798775
222,134.9115883409977
223,134.9210953116417
224,134.9261675477028
225,134.93333333730698
226,134.90490040183067
227,134.90312013030052
228,134.9043052792549
229,134.89538967609406
230,134.89687550067902
231,134.9114435017109
232,134.8924539089203
233,134.89581179618835
234,134.906714707613
235,134.90644174814224
236,134.89650809764862
237,134.8985257744789
238,134.9083644747734
239,134.88298624753952
240,134.89526760578156
241,134.88519775867462
242,134.90089312195778
243,134.88853430747986
244,134.9013915359974
245,134.8993123471737
246,134.89886620640755
247,134.87820184230804
248,134.8934796154499
249,134.88834363222122
250,134.86870202422142
251,134.8882514834404
252,134.88983258605003
253,134.88098099827766
254,134.88067585229874
255,134.87634858489037
256,134.86925289034843
257,134.88559451699257
258,134.86595997214317
259,134.86665910482407
260,134.90135368704796
261,134.88359221816063
262,134.86501002311707
263,134.86509093642235
264,134.87023109197617
265,134.86562913656235
266,134.87220323085785
267,134.86127465963364
268,134.877327054739
269,134.86430904269218
270,134.86541801691055
271,134.86327064037323
272,134.87789657711983
273,134.86188352108002
274,134.8735439479351
275,134.87701958417892
276,134.86512178182602
277,134.85846570134163
278,134.86387038230896
279,134.86890611052513
280,134.85918480157852
281,134.87895274162292
282,134.8694230914116
283,134.86670899391174
284,134.8680626153946
285,134.85395354032516
286,134.87741351127625
287,134.86376810073853
288,134.8686447441578
289,134.860484957695
290,134.86582362651825
291,134.8548863530159
292,134.84786334633827
293,134.8468889594078
294,134.85266596078873
295,134.86037358641624
296,134.8504602909088
297,134.8552449643612
298,134.857181340456
299,134.86030077934265
