,loss
0,136.48890939354897
1,136.34585547447205
2,134.9234643280506
3,130.5299690067768
4,127.44506779313087
5,121.94716343283653
6,119.47547376155853
7,118.6992636024952
8,117.07556653022766
9,116.30669537186623
10,115.90248918533325
11,115.68343928456306
12,115.46779850125313
13,115.30729752779007
14,114.90483611822128
15,113.33307817578316
16,112.66105279326439
17,112.3645239174366
18,111.86926218867302
19,110.95492401719093
20,110.4628754556179
21,110.1718778014183
22,109.99927121400833
23,109.85671067237854
24,109.66530615091324
25,109.60011529922485
26,109.56716933846474
27,109.43224880099297
28,109.34284463524818
29,109.30622670054436
30,109.22385969758034
31,109.1347806751728
32,109.06849598884583
33,109.02261811494827
34,108.9769675731659
35,108.92244893312454
36,108.87074321508408
37,108.82433706521988
38,108.73827686905861
39,108.6937747001648
40,108.63287016749382
41,108.58942791819572
42,108.5601338148117
43,108.51517447829247
44,108.5008584856987
45,108.435387134552
46,108.37287122011185
47,108.36544036865234
48,108.3163754940033
49,108.27792477607727
50,108.24663570523262
51,108.23447227478027
52,108.19455122947693
53,108.129379093647
54,108.13065934181213
55,108.08764907717705
56,108.08320206403732
57,108.05656170845032
58,108.04576337337494
59,107.99473950266838
60,107.98929533362389
61,107.97205656766891
62,107.95910146832466
63,107.96248918771744
64,107.90192058682442
65,107.89388555288315
66,107.86759263277054
67,107.86230221390724
68,107.85830613970757
69,107.83550149202347
70,107.81386005878448
71,107.7982029914856
72,107.80265265703201
73,107.78526949882507
74,107.77631875872612
75,107.74200403690338
76,107.73555979132652
77,107.72884452342987
78,107.73374918103218
79,107.71115666627884
80,107.70777627825737
81,107.67969214916229
82,107.69682505726814
83,107.70017835497856
84,107.68436631560326
85,107.65598511695862
86,107.65285664796829
87,107.65314728021622
88,107.62103074789047
89,107.64215758442879
90,107.61231335997581
91,107.62014490365982
92,107.59465262293816
93,107.60936567187309
94,107.59191191196442
95,107.5986921787262
96,107.56388381123543
97,107.57371824979782
98,107.56437909603119
99,107.54327487945557
