,loss
0,204.9546315073967
1,204.15394932031631
2,194.08383774757385
3,185.303981423378
4,179.94313898682594
5,176.8541504740715
6,175.42672234773636
7,174.76313534379005
8,174.34680461883545
9,174.01844921708107
10,173.76148742437363
11,173.53363838791847
12,173.40027159452438
13,173.25927951931953
14,173.07852548360825
15,172.95471113920212
16,172.85462325811386
17,172.72479578852654
18,172.6051668226719
19,172.54751217365265
20,172.48958000540733
21,172.3823449909687
22,172.26175954937935
23,172.24981874227524
24,172.10041135549545
25,172.0242701470852
26,172.00307750701904
27,171.86094623804092
28,171.82087793946266
29,171.7460027039051
30,171.68480968475342
31,171.59460499882698
32,171.51437482237816
33,171.4153696000576
34,170.12548726797104
35,168.24838134646416
36,167.82566040754318
37,167.54453641176224
38,167.35035046935081
39,167.25445425510406
40,167.10429885983467
41,164.92362716794014
42,163.8742097914219
43,163.42894026637077
44,163.18799969553947
45,162.98213735222816
46,162.84958162903786
47,162.70962399244308
48,162.59317177534103
49,162.51624539494514
50,162.38463220000267
51,162.28983229398727
52,162.2319890856743
53,162.19162368774414
54,162.1241845190525
55,162.06751561164856
56,162.01956510543823
57,161.9866836965084
58,161.92323875427246
59,161.89984384179115
60,161.8787051141262
61,161.82451716065407
62,161.78955128788948
63,161.77291613817215
64,161.71766659617424
65,161.71372389793396
66,161.6920761168003
67,161.67796617746353
68,161.67536887526512
69,161.62217849493027
70,161.61425697803497
71,161.5784086883068
72,161.57350957393646
73,161.5549288392067
74,161.51936170458794
75,161.50205022096634
76,161.5152272582054
77,161.4659304022789
78,161.47875729203224
79,161.43340900540352
80,161.4148799777031
81,161.40079247951508
82,161.43160274624825
83,161.36427652835846
84,161.33226838707924
85,161.36801886558533
86,161.34770333766937
87,161.33286833763123
88,161.29728844761848
89,161.30152401328087
90,161.28710103034973
91,161.2828224003315
92,161.2751077413559
93,161.25313639640808
94,161.24439829587936
95,161.24716725945473
96,161.2424592077732
97,161.23499801754951
98,161.2164820432663
99,161.2205924987793
