,loss
0,306.9771422147751
1,298.10622546076775
2,277.1355303823948
3,266.73413383960724
4,264.67507338523865
5,261.5452300310135
6,260.2464128136635
7,259.53042525053024
8,259.1543445587158
9,258.81674513220787
10,258.6277396976948
11,255.5199616253376
12,253.73263812065125
13,253.1345652639866
14,252.71220088005066
15,252.41731509566307
16,252.08308055996895
17,251.83176851272583
18,251.60357347130775
19,251.42096000909805
20,251.21168327331543
21,251.0204452574253
22,250.86677706241608
23,250.6922971010208
24,250.60041150450706
25,250.5321791768074
26,250.39844232797623
27,250.31307250261307
28,250.21363997459412
29,250.17922946810722
30,250.0191614329815
31,249.90581133961678
32,249.85237196087837
33,245.77844616770744
34,244.5424826145172
35,244.1743142604828
36,243.9255693256855
37,243.76316052675247
38,243.61998799443245
39,243.46365830302238
40,243.38392168283463
41,243.24734345078468
42,243.2191407084465
43,243.13040971755981
44,243.06818470358849
45,243.05410251021385
46,242.94332280755043
47,242.95149445533752
48,242.83048114180565
49,242.82247686386108
50,242.76082995533943
51,242.69574788212776
52,242.63926422595978
53,242.6293708384037
54,242.61490827798843
55,242.54957422614098
56,242.52727308869362
57,242.48061963915825
58,242.4554646909237
59,242.44485232234
60,242.4058129787445
61,242.33385837078094
62,242.32761266827583
63,242.32374787330627
64,242.27886658906937
65,242.2465447485447
66,242.2374878525734
67,242.1950422823429
68,242.19417023658752
69,242.14260584115982
70,242.14034739136696
71,242.1177203655243
72,242.09836012125015
73,242.047221660614
74,242.03297767043114
75,242.04580867290497
76,242.0369552075863
77,241.98890393972397
78,241.9886831343174
79,241.9766547381878
80,241.93269765377045
81,241.91247311234474
82,241.92500254511833
83,241.89126527309418
84,241.8769267499447
85,241.842290610075
86,241.8421863913536
87,241.8687684237957
88,241.83182206749916
89,241.80694404244423
90,241.80402490496635
91,241.8116891682148
92,241.78580650687218
93,241.79033860564232
94,241.78151267766953
95,241.7329483628273
96,241.76633885502815
97,241.75679257512093
98,241.70173558592796
99,241.71817103028297
100,241.70102652907372
101,241.6965238749981
102,241.6834598183632
103,241.67790511250496
104,241.65788823366165
105,241.62619933485985
106,241.66007634997368
107,241.63520875573158
108,241.63381192088127
109,241.62405759096146
110,241.60389706492424
111,241.62727236747742
112,241.62428987026215
113,241.61161905527115
114,241.58930104970932
115,241.61063861846924
116,241.61512085795403
117,241.559036642313
118,241.57943710684776
119,241.57441347837448
120,241.57125839591026
121,241.54007470607758
122,241.5276560485363
123,241.55771872401237
124,241.52943497896194
125,241.54656529426575
126,241.53176632523537
127,241.56331834197044
128,241.51456198096275
129,241.5170600116253
130,241.50991740822792
131,241.51280108094215
132,241.49873533844948
133,241.50018540024757
134,241.4943991601467
135,241.49862575531006
136,241.51763877272606
137,241.48853835463524
138,241.4725839793682
139,241.4763465821743
140,241.465722322464
141,241.45183563232422
142,241.46522146463394
143,241.4689739048481
144,241.47507473826408
145,241.47673496603966
146,241.43427294492722
147,241.4708922803402
148,241.44361981749535
149,241.442733168602
150,241.4464445412159
151,241.42005017399788
152,241.4434014260769
153,241.42793238162994
154,241.41222548484802
155,241.43177101016045
156,241.4053953886032
157,241.42243587970734
158,241.4134198129177
159,241.40509209036827
160,241.44375324249268
161,241.4221669137478
162,241.42713782191277
163,241.40120139718056
164,241.40379431843758
165,241.40101099014282
166,241.41536390781403
167,241.38400265574455
168,241.3977371752262
169,241.39241033792496
170,241.3754920065403
171,241.3756718635559
172,241.38014468550682
173,241.3795396387577
174,241.40528297424316
175,241.36179649829865
176,241.37742698192596
177,241.385227560997
178,241.3591087460518
179,241.37418922781944
180,241.36896753311157
181,241.3799577653408
182,241.39130386710167
183,241.40194404125214
184,241.3403548002243
185,241.36145317554474
186,241.3598703444004
187,241.35530638694763
188,241.3917873799801
189,241.35162064433098
190,241.34949910640717
191,241.36412730813026
192,241.36035025119781
193,241.3595454096794
194,241.3453502357006
195,241.33672058582306
196,241.392421990633
197,241.34146869182587
198,241.34152096509933
199,241.35487374663353
200,241.32937225699425
201,241.34094467759132
202,241.32985690236092
203,241.35532608628273
204,241.35445520281792
205,241.33978843688965
206,241.34378293156624
207,241.3088268339634
208,241.34628948569298
209,241.32316729426384
210,241.34490942955017
211,241.33904737234116
212,241.31888169050217
213,241.3210285604
214,241.3095985352993
215,241.3349793255329
216,241.31951266527176
217,241.3186725974083
218,241.29297176003456
219,241.33451116085052
220,241.30233120918274
221,241.31922674179077
222,241.33362331986427
223,241.2937282025814
224,241.29689320921898
225,241.30956482887268
226,241.26476830244064
227,241.2731410562992
228,241.2980616092682
229,241.28933438658714
230,241.31428295373917
231,241.33067554235458
232,241.31401365995407
233,241.30769687891006
234,241.31041026115417
235,241.27762201428413
236,241.30202621221542
237,241.29883313179016
238,241.2934297323227
239,241.28151527047157
240,241.28528493642807
241,241.26911544799805
242,241.28391176462173
243,241.30261740088463
244,241.28689286112785
245,241.3052468597889
246,241.26122543215752
247,241.276211053133
248,241.27494722604752
249,241.29654282331467
250,241.2691404223442
251,241.27257773280144
252,241.25110000371933
253,241.28587937355042
254,241.25527331233025
255,241.28879684209824
256,241.27112990617752
257,241.26430216431618
258,241.2826535999775
259,241.2835033237934
260,241.25818088650703
261,241.2567673921585
262,241.25756779313087
263,241.27704712748528
264,241.24435257911682
265,241.27227181196213
266,241.2803972363472
267,241.27885782718658
268,241.29399091005325
269,241.23078373074532
270,241.27866688370705
271,241.2541724741459
272,241.2889299094677
273,241.25345182418823
274,241.25956764817238
275,241.26039263606071
276,241.23927530646324
277,241.23756489157677
278,241.24512737989426
279,241.26052513718605
280,241.24378156661987
281,241.24219942092896
282,241.247212767601
283,241.2700486779213
284,241.26070526242256
285,241.25890696048737
286,241.2355379164219
287,241.26921746134758
288,241.20695978403091
289,241.22957545518875
290,241.22294861078262
291,241.22376546263695
292,241.26517593860626
293,241.23699262738228
294,241.2394343316555
295,241.25453966856003
296,241.25104519724846
297,241.23902249336243
298,241.24395433068275
299,241.24496471881866
